qmd_path,article_slug,public_id,pixel_url,source_line
track_gm_kl05/units/unit06_animals-and-pets.qmd,unit06_animals-and-pets,1110d1fe4fd74785abf60842f86d3b0d,https://vg09.met.vgwort.de/na/1110d1fe4fd74785abf60842f86d3b0d,150
track_gm_kl05/units/unit06_animals-and-pets_exam.qmd,unit06_animals-and-pets_exam,1119f03ebdf4487b90f7e3ecc64bde46,https://vg09.met.vgwort.de/na/1119f03ebdf4487b90f7e3ecc64bde46,28
track_gm_kl05/units/unit07_weather-and-seasons.qmd,unit07_weather-and-seasons,111ccdc0a85349cd844a2c194e5b714c,https://vg09.met.vgwort.de/na/111ccdc0a85349cd844a2c194e5b714c,150
track_gm_kl05/units/unit07_weather-and-seasons_exam.qmd,unit07_weather-and-seasons_exam,1135a9ddbe1745928b5bebdc01fa6461,https://vg09.met.vgwort.de/na/1135a9ddbe1745928b5bebdc01fa6461,28
track_gm_kl05/units/unit08_hobbies-and-sports.qmd,unit08_hobbies-and-sports,11566c3ad8344b0dac4ea27d18a4645d,https://vg09.met.vgwort.de/na/11566c3ad8344b0dac4ea27d18a4645d,141
track_gm_kl05/units/unit08_hobbies-and-sports_exam.qmd,unit08_hobbies-and-sports_exam,116379a52e7e4c08ac108bac3613bb7d,https://vg09.met.vgwort.de/na/116379a52e7e4c08ac108bac3613bb7d,28
track_gm_kl05/units/unit09_birthday-and-friends.qmd,unit09_birthday-and-friends,1168185e5ef843ff8149c546fbf82cc4,https://vg09.met.vgwort.de/na/1168185e5ef843ff8149c546fbf82cc4,152
track_gm_kl05/units/unit09_birthday-and-friends_exam.qmd,unit09_birthday-and-friends_exam,117761451b31437d858b6746aae82d89,https://vg09.met.vgwort.de/na/117761451b31437d858b6746aae82d89,28
track_gm_kl05/units/unit10_a-day-in-london.qmd,unit10_a-day-in-london,117ac5628bd842fa8d2d3d6eebc42a30,https://vg09.met.vgwort.de/na/117ac5628bd842fa8d2d3d6eebc42a30,152
track_gm_kl05/units/unit10_a-day-in-london_exam.qmd,unit10_a-day-in-london_exam,1180adc7ca604f8f9e7d1d0bb26a9713,https://vg09.met.vgwort.de/na/1180adc7ca604f8f9e7d1d0bb26a9713,28
track_gm_kl05/units/unit11_clothes-and-colours.qmd,unit11_clothes-and-colours,11aaddc8332e47dcac4f7b5c3db6f410,https://vg09.met.vgwort.de/na/11aaddc8332e47dcac4f7b5c3db6f410,149
track_gm_kl05/units/unit11_clothes-and-colours_exam.qmd,unit11_clothes-and-colours_exam,11d50de72eee4a378228cb11fa693092,https://vg09.met.vgwort.de/na/11d50de72eee4a378228cb11fa693092,28
track_gm_kl05/units/unit12_review-and-show.qmd,unit12_review-and-show,11e232f8a8e447959271439f88d23834,https://vg09.met.vgwort.de/na/11e232f8a8e447959271439f88d23834,147
track_gm_kl05/units/unit12_review-and-show_exam.qmd,unit12_review-and-show_exam,11e4dda17a67403299fca1e8ffb90855,https://vg09.met.vgwort.de/na/11e4dda17a67403299fca1e8ffb90855,28
track_gm_kl06/index.qmd,index,11f6978acfd3425db61ef13b4fd01ded,https://vg09.met.vgwort.de/na/11f6978acfd3425db61ef13b4fd01ded,133
track_gm_kl06/schedule.qmd,schedule,11f6fb20072e4b28aff54e4f9bc43bd6,https://vg09.met.vgwort.de/na/11f6fb20072e4b28aff54e4f9bc43bd6,30
track_gm_kl06/units/unit01_a-new-year-at-school.qmd,unit01_a-new-year-at-school,1212f243a0c54d5eb34bfeff384aca54,https://vg09.met.vgwort.de/na/1212f243a0c54d5eb34bfeff384aca54,139
track_gm_kl06/units/unit01_a-new-year-at-school_exam.qmd,unit01_a-new-year-at-school_exam,12368cb3a51249d686276c86395f4913,https://vg09.met.vgwort.de/na/12368cb3a51249d686276c86395f4913,28
track_gm_kl06/units/unit02_on-holiday.qmd,unit02_on-holiday,12573109f0024aaa8693fe04858b0a1f,https://vg09.met.vgwort.de/na/12573109f0024aaa8693fe04858b0a1f,137
track_gm_kl06/units/unit02_on-holiday_exam.qmd,unit02_on-holiday_exam,127cdcf359c94e57aa29c89f8ab74705,https://vg09.met.vgwort.de/na/127cdcf359c94e57aa29c89f8ab74705,28
track_gm_kl06/units/unit03_in-the-city.qmd,unit03_in-the-city,12a111e2dac5449dbfceda59b2c51b93,https://vg09.met.vgwort.de/na/12a111e2dac5449dbfceda59b2c51b93,138
track_gm_kl06/units/unit03_in-the-city_exam.qmd,unit03_in-the-city_exam,12a350d826cb447cb393336df318264b,https://vg09.met.vgwort.de/na/12a350d826cb447cb393336df318264b,28
